cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
2,Passivo Total,242998063.0,111407601.0,117472283.0,131989532.0,166344090.0,244229716.0,352924044.0,398261492.0,461937016.0,447008553.0,454096453.0,473837646.0,477835279.0,498410244.0,495115810.0,569747020.0,601934759.0,613163305.0,649216711.0,611754584.0,659438351.0,688463478.0
02.01,Captação de Clientes (Vista),,,,,,,,,,,,,,,,,,,,,,
02.02,Captação de Mercado,,,,,,,,,,,,,,,,,,,,,,
02.03,Recursos a Custo Amortizado,127020714.0,86776740.0,95356980.0,77665074.0,86501006.0,273343619.0,242411376.0,260692401.0,288697823.0,298751439.0,297156935.0,302861857.0,315334887.0,333587610.0,341911634.0,381756952.0,407421299.0,420170154.0,413050438.0,406452547.0,434906247.0,461603815.0
02.03.01,Depósitos Totais,,,,,,,,,,,,,,,,,,,,,,
02.04,Obrigações por Títulos e Valores,14262022.0,20760558.0,28364614.0,,,55204439.0,57944638.0,71604637.0,87781085.0,90778368.0,87139332.0,91991668.0,98021212.0,103659546.0,97075862.0,114533195.0,131886941.0,122187034.0,113780403.0,111927713.0,123104355.0,125519304.0
02.05,Provisões Contingentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5091446.0,5142852.0,5015523.0,5067960.0,4995441.0,4907988.0,4993028.0,7043755.0,7145374.0,7216559.0,6941530.0,7012986.0
02.07,Patrimônio Líquido (PL),20245777.0,17159906.0,18877433.0,19081061.0,21950922.0,29272126.0,44642247.0,47706478.0,49973117.0,51375403.0,49567082.0,51491389.0,54214810.0,54493602.0,56388167.0,58612672.0,60513494.0,65182552.0,65871805.0,68794384.0,73137137.0,76052690.0
02.07.01,Capital Social,7235738.0,7275738.0,7447305.0,7447305.0,7447305.0,10068456.0,15815577.0,15815577.0,15815577.0,15815577.0,15760364.0,15760364.0,15760364.0,15760364.0,15760364.0,15760364.0,15760364.0,15760364.0,15760364.0,15760364.0,15760364.0,15760364.0
02.07.05,Reservas de Lucros,6200578.0,4955589.0,6382000.0,6808854.0,9676236.0,14251918.0,20325200.0,20241359.0,20606437.0,20595313.0,25155067.0,25155067.0,25383792.0,25367937.0,32123118.0,32123118.0,35912794.0,35912794.0,40296364.0,40285827.0,47496988.0,47496988.0
