codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,-0.5742,-10.7817,-9.1634,-14.1353,-240.3498,-119.7812,5.9886,17.7916,12.6826,9.7475,4.21,5.7038
P_VPA,P/VPA,Valuation,x,1.4503,2.7753,7.4689,30.0988,6.6254,3.54,1.4419,1.2196,1.5565,0.8718,0.0003,0.0004
EV_EBITDA,EV/EBITDA,Valuation,x,-0.4691,-24.99,-9.4307,-39.8308,21.7057,6.1701,2.6896,2.8736,4.1795,1.8313,-1.0531,-1.0528
EV_EBIT,EV/EBIT,Valuation,x,-0.4063,-9.6005,-6.9425,-19.225,263.2647,13.3546,3.6956,5.7028,5.8494,2.6189,-1.8021,-1.8016
EV_RECEITA,EV/Receita,Valuation,x,0.7649,2.2803,4.8884,5.9173,6.9817,2.8487,0.73,0.8887,1.3852,0.6154,-0.4214,-0.4213
DY,Dividend Yield,Valuation,%,0.0003,,,,,,,0.0021,0.0004,0.0013,5.871,4.3333
PAYOUT,Payout,Valuation,%,0.0001,,,,,,,0.0179,0.0038,0.0075,0.0095,0.0095
ROE,ROE,Rentabilidade,%,303.1655,20.7464,55.8962,94.5707,2.7838,7.4437,31.4247,14.2975,17.9418,16.0918,20.635,20.635
ROA,ROA,Rentabilidade,%,117.8213,8.4205,19.7409,18.084,0.8714,3.2525,13.7925,6.564,8.9193,8.5427,12.1184,12.1184
ROIC,ROIC,Rentabilidade,%,-281.8509,-29.054,-133.2667,-285.6289,8.2274,67.7678,37.0194,15.1807,20.6552,20.2927,19.4349,19.4349
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,-163.0481,-9.1247,-51.8344,-14.856,32.1651,46.169,27.1423,30.928,33.1419,33.6037,40.0191,40.0191
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,218.2098,20.4228,56.3201,43.2373,1.8819,7.8311,25.6734,13.8539,19.3667,17.9498,23.6495,23.6495
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.1711,4.833,0.6811,0.8736,-3.0796,-1.8021,-1.8527,-0.919,-1.1244,-1.1821,-1.0541,-1.0541
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.3876,-0.4497,-0.5031,-0.646,-0.8232,-0.8002,-0.5881,-0.2955,-0.33,-0.342,-0.3469,-0.3469
ICJ,ICJ,Endividamento,x,-4.2742,-3.0467,-16.9937,-1.8586,0.241,1.1196,1.3385,1.2493,2.2025,2.5797,5.227,5.227
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,,,,,100.0,100.0,,,,,,
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.8012,2.2721,1.4769,0.6845,2.8298,2.8906,1.7852,1.4738,1.5687,1.5455,2.1253,2.1253
LIQ_SECA,Liquidez Seca,Liquidez,x,1.8012,2.2721,1.4769,0.6845,2.8298,2.8906,1.7852,1.4738,1.5687,1.5455,2.1253,2.1253
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.6223,0.7103,0.5926,0.4119,1.0702,0.9977,0.9831,0.8815,0.9942,1.1003,1.356,1.356
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.5399,0.4333,0.3825,0.4709,0.364,0.4192,0.5166,0.4973,0.4566,0.4698,0.5021,0.5021
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,17.6245,37.232,6.7247,-61.8091,-14.2713,-23.6522,-10.9171,18.6047,18.1304,9.2547,31.6963,31.6963
PME,PME,Eficiência,dias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,-2.0659,-0.4909,-13.2725,-31.4163,-14.6006,-14.0397,-19.1346,-12.0425,-15.1768,-17.4626,-8.18,-8.18
